ID	ASSENT	ANXIETY	EMOTICONS	POSITIVE EMOTION	AFFECTIVE PROCESSES	ANGER	NEGATIVE EMOTION	SADNESS	
1151	0.0000	0.0000	0.0000	0.8197	1.6393	0.8197	0.8197	0.0000	
1181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
200	0.0000	0.0000	4.5455	4.5455	9.0909	4.5455	4.5455	0.0000	
210	2.2727	0.0000	0.0000	2.2727	4.5455	0.0000	2.2727	0.0000	
1371	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1381	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
280	0.0000	0.0000	0.0000	20.0000	20.0000	0.0000	0.0000	0.0000	
520	0.0000	0.0000	0.0000	4.1667	5.5556	0.0000	1.3889	0.0000	
1380	0.0000	0.0000	0.0000	12.5000	12.5000	0.0000	0.0000	0.0000	
4451	1.0309	0.0000	0.0000	1.0309	2.0619	1.0309	1.0309	0.0000	
4461	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6431	0.0000	0.0000	0.0000	0.7246	0.7246	0.0000	0.0000	0.0000	
7671	0.0000	0.0000	0.0000	3.5714	3.5714	0.0000	0.0000	0.0000	
7691	0.0000	0.0000	0.0000	8.5106	8.5106	0.0000	0.0000	0.0000	
8001	1.4925	0.0000	0.0000	5.9701	5.9701	0.0000	0.0000	0.0000	
8241	0.0000	0.0000	0.0000	3.2787	3.8251	0.5464	0.5464	0.0000	
2670	0.0000	0.0000	0.0000	2.2727	2.2727	0.0000	0.0000	0.0000	
2700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8311	0.0000	0.0000	0.0000	0.8403	3.3613	0.0000	2.5210	0.8403	
2680	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2710	0.0000	0.0000	0.0000	9.0909	9.0909	0.0000	0.0000	0.0000	
8321	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2690	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8471	0.0000	0.0000	0.0000	4.1237	4.1237	0.0000	0.0000	0.0000	
8501	0.0000	0.0000	0.0000	0.0000	2.4390	0.0000	2.4390	0.0000	
8661	1.4706	0.0000	0.0000	5.8824	5.8824	0.0000	0.0000	0.0000	
2820	0.0000	0.0000	0.0000	18.1818	18.1818	0.0000	0.0000	0.0000	
3160	0.0000	0.0000	0.0000	8.3333	8.3333	0.0000	0.0000	0.0000	
8801	0.0000	0.0000	0.0000	0.0000	2.0000	1.0000	2.0000	0.0000	
3090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3100	0.0000	0.0000	0.0000	4.8780	4.8780	0.0000	0.0000	0.0000	
3150	0.0000	0.0000	0.0000	2.9412	2.9412	0.0000	0.0000	0.0000	
3330	0.0000	3.5714	0.0000	0.0000	3.5714	0.0000	3.5714	0.0000	
8811	0.0000	0.0000	0.0000	1.4085	2.8169	0.0000	1.4085	1.4085	
8911	0.0000	0.0000	0.0000	3.5714	7.1429	0.0000	3.5714	0.0000	
9111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9471	0.0000	0.0000	0.0000	0.5076	0.5076	0.0000	0.0000	0.0000	
13401	2.3529	0.0000	0.0000	7.0588	10.5882	0.0000	3.5294	0.0000	
13461	0.0000	0.0000	0.0000	5.0000	5.0000	0.0000	0.0000	0.0000	
13701	0.0000	0.0000	0.0000	11.1111	22.2222	5.5556	11.1111	5.5556	
13951	0.0000	0.0000	0.0000	3.4483	3.4483	0.0000	0.0000	0.0000	
14951	0.0000	0.0000	0.0000	1.6667	3.3333	0.0000	1.6667	0.0000	
6210	0.0000	0.0000	0.0000	0.0000	7.1429	0.0000	7.1429	0.0000	
15001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
15041	0.0000	0.0000	0.0000	0.0000	12.5000	0.0000	12.5000	0.0000	
6250	4.5455	0.0000	0.0000	4.5455	9.0909	0.0000	4.5455	0.0000	
15111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
15421	10.0000	0.0000	0.0000	15.0000	20.0000	5.0000	5.0000	0.0000	
18261	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
18331	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
4941	0.0000	0.0000	0.0000	4.0000	4.0000	0.0000	0.0000	0.0000	
10561	0.0000	0.0000	0.0000	0.0000	3.2258	0.0000	3.2258	0.0000	
10671	2.9412	0.0000	0.0000	2.9412	2.9412	0.0000	0.0000	0.0000	
16021	1.1236	0.0000	1.1236	4.4944	4.4944	0.0000	0.0000	0.0000	
16031	0.0000	0.0000	0.0000	14.2857	14.2857	0.0000	0.0000	0.0000	
16041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16071	0.0000	0.0000	0.0000	50.0000	50.0000	0.0000	0.0000	0.0000	
16091	0.0000	0.0000	0.0000	50.0000	50.0000	0.0000	0.0000	0.0000	
16121	0.0000	0.0000	0.0000	10.0000	10.0000	0.0000	0.0000	0.0000	
16181	0.0000	0.0000	50.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16251	0.0000	0.0000	0.0000	28.5714	28.5714	0.0000	0.0000	0.0000	
16311	0.0000	0.0000	0.0000	19.0476	19.0476	0.0000	0.0000	0.0000	
16341	0.0000	0.0000	0.0000	50.0000	50.0000	0.0000	0.0000	0.0000	
16441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16501	0.0000	0.0000	0.0000	50.0000	50.0000	0.0000	0.0000	0.0000	
16511	0.0000	0.0000	0.0000	6.2500	6.2500	0.0000	0.0000	0.0000	
16541	0.0000	0.0000	0.0000	9.0909	9.0909	0.0000	0.0000	0.0000	
16591	0.0000	0.0000	0.0000	28.5714	28.5714	0.0000	0.0000	0.0000	
16831	0.0000	0.0000	0.0000	100.0000	100.0000	0.0000	0.0000	0.0000	
20591	0.0000	0.5263	0.0000	2.6316	4.2105	1.0526	1.5789	0.0000	
20681	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
7770	0.0000	0.0000	0.0000	2.8571	4.0000	0.5714	0.5714	0.0000	
20801	0.9524	0.0000	0.0000	4.7619	5.7143	0.0000	0.9524	0.9524	
20881	0.0000	0.8621	0.0000	2.5862	3.4483	0.0000	0.8621	0.0000	
20891	0.4739	1.8957	0.0000	2.8436	7.1090	1.8957	4.2654	0.0000	
21001	0.0000	0.6024	0.0000	2.4096	3.0120	0.0000	0.6024	0.0000	
7800	0.0000	0.4396	0.0000	1.9780	3.0769	0.4396	1.0989	0.0000	
1141	0.0000	0.0000	0.0000	1.6667	3.3333	0.0000	1.6667	0.0000	
4531	0.0000	0.0000	0.0000	2.7778	2.7778	0.0000	0.0000	0.0000	
7571	0.8850	0.0000	0.0000	3.5398	7.0796	0.0000	3.5398	0.0000	
7651	0.0000	0.0000	0.0000	20.0000	20.0000	0.0000	0.0000	0.0000	
2740	0.0000	0.0000	0.0000	13.0435	13.0435	0.0000	0.0000	0.0000	
8421	0.0000	0.0000	0.0000	3.8462	3.8462	0.0000	0.0000	0.0000	
8431	2.1739	0.0000	0.0000	8.6957	8.6957	0.0000	0.0000	0.0000	
8441	0.0000	0.0000	0.0000	16.6667	16.6667	0.0000	0.0000	0.0000	
10041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
13381	0.0000	0.0000	0.0000	3.3333	3.3333	0.0000	0.0000	0.0000	
13421	0.0000	0.0000	0.0000	2.1930	2.6316	0.4386	0.4386	0.0000	
5400	0.0000	0.0000	0.0000	0.0000	0.7353	0.7353	0.7353	0.0000	
18251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
18341	0.0000	0.0000	0.0000	3.0303	3.0303	0.0000	0.0000	0.0000	
18401	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
18411	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
4921	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
5041	7.1429	0.0000	0.0000	7.1429	7.1429	0.0000	0.0000	0.0000	
1480	2.9412	0.0000	0.0000	0.0000	2.9412	0.0000	2.9412	0.0000	
5131	15.0000	0.0000	0.0000	5.0000	5.0000	0.0000	0.0000	0.0000	
5311	0.0000	0.0000	0.0000	0.0000	3.3333	0.0000	3.3333	0.0000	
5341	0.0000	0.0000	0.0000	3.2258	3.2258	0.0000	0.0000	0.0000	
6501	0.0000	0.0000	0.0000	2.8571	2.8571	0.0000	0.0000	0.0000	
6551	0.0000	0.0000	0.0000	33.3333	33.3333	0.0000	0.0000	0.0000	
10541	0.4386	0.8772	0.0000	2.1930	3.5088	0.0000	1.3158	0.0000	
10551	0.5420	0.5420	0.0000	3.5230	4.8780	0.5420	1.3550	0.0000	
10931	0.0000	0.0000	0.0000	3.2258	4.8387	0.0000	1.6129	1.6129	
11021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
4090	1.3514	0.0000	0.0000	4.0541	4.0541	0.0000	0.0000	0.0000	
11501	0.0000	0.0000	0.0000	1.0753	2.1505	0.0000	1.0753	0.0000	
11521	1.0989	3.2967	0.0000	5.4945	8.7912	0.0000	3.2967	0.0000	
4110	0.0000	1.0417	0.0000	3.1250	6.2500	0.0000	3.1250	0.0000	
4650	0.0000	2.1505	0.0000	3.2258	5.3763	0.0000	2.1505	0.0000	
4720	0.7143	0.0000	0.0000	4.2857	4.2857	0.0000	0.0000	0.0000	
11781	0.0000	0.0000	0.0000	3.3898	3.3898	0.0000	0.0000	0.0000	
11961	0.0000	0.7576	0.0000	3.0303	3.7879	0.0000	0.7576	0.0000	
12331	0.0000	0.0000	0.0000	5.3333	5.3333	0.0000	0.0000	0.0000	
4730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
12441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
15931	0.0000	0.0000	0.0000	10.3448	10.3448	0.0000	0.0000	0.0000	
18971	0.0000	0.0000	0.0000	25.0000	25.0000	0.0000	0.0000	0.0000	
7940	6.6667	0.0000	0.0000	26.6667	26.6667	0.0000	0.0000	0.0000	
19011	0.0000	2.5000	0.0000	15.0000	17.5000	0.0000	2.5000	0.0000	
19111	0.0000	0.0000	0.0000	7.6923	10.2564	0.0000	2.5641	2.5641	
19151	0.0000	0.0000	0.0000	6.1224	7.1429	0.0000	1.0204	0.0000	
19181	0.0000	0.0000	0.0000	8.3333	8.3333	0.0000	0.0000	0.0000	
7580	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
19191	0.0000	0.0000	0.0000	8.0000	8.0000	0.0000	0.0000	0.0000	
19401	1.4706	0.0000	0.0000	8.8235	10.2941	0.0000	1.4706	0.0000	
19441	0.0000	0.0000	0.0000	13.6364	13.6364	0.0000	0.0000	0.0000	
19511	0.0000	0.0000	0.0000	2.2222	2.2222	0.0000	0.0000	0.0000	
19571	1.4085	0.0000	0.0000	9.8592	11.2676	1.4085	1.4085	0.0000	
19601	0.0000	0.0000	0.0000	21.4286	21.4286	0.0000	0.0000	0.0000	
19611	0.0000	0.0000	0.0000	4.9645	5.6738	0.0000	0.7092	0.7092	
19631	0.0000	0.0000	0.0000	20.0000	20.0000	0.0000	0.0000	0.0000	
19641	0.0000	0.0000	0.0000	12.5000	12.5000	0.0000	0.0000	0.0000	
19661	0.7353	0.0000	0.0000	5.8824	5.8824	0.0000	0.0000	0.0000	
19691	0.0000	0.0000	0.0000	11.1111	11.1111	0.0000	0.0000	0.0000	
19821	5.2632	0.0000	0.0000	21.0526	21.0526	0.0000	0.0000	0.0000	
19851	0.0000	0.0000	0.0000	12.5000	12.5000	0.0000	0.0000	0.0000	
19891	0.0000	0.0000	0.0000	5.2632	5.2632	0.0000	0.0000	0.0000	
7510	0.0000	0.0000	0.0000	5.8824	5.8824	0.0000	0.0000	0.0000	
19921	0.0000	0.0000	0.0000	14.2857	14.2857	0.0000	0.0000	0.0000	
19941	0.8772	0.0000	0.0000	11.4035	11.4035	0.0000	0.0000	0.0000	
7860	0.0000	0.0000	0.0000	4.7619	9.5238	0.0000	4.7619	4.7619	
20061	0.0000	0.0000	0.0000	26.0870	26.0870	0.0000	0.0000	0.0000	
20081	0.0000	0.0000	0.0000	13.0435	13.0435	0.0000	0.0000	0.0000	
20121	0.0000	0.0000	0.0000	16.6667	16.6667	0.0000	0.0000	0.0000	
20131	0.0000	0.0000	0.0000	30.0000	30.0000	0.0000	0.0000	0.0000	
20151	0.0000	0.0000	0.0000	8.0808	9.0909	0.0000	1.0101	1.0101	
20181	0.0000	0.0000	0.0000	5.7143	5.7143	0.0000	0.0000	0.0000	
20191	1.8868	0.0000	0.0000	13.2075	13.2075	0.0000	0.0000	0.0000	
20211	0.0000	2.3810	0.0000	7.1429	11.9048	0.0000	4.7619	0.0000	
20221	0.0000	0.0000	0.0000	13.6364	13.6364	0.0000	0.0000	0.0000	
20231	0.0000	0.0000	0.0000	8.6957	8.6957	0.0000	0.0000	0.0000	
20251	0.0000	0.0000	0.0000	5.4054	5.4054	0.0000	0.0000	0.0000	
20261	0.0000	0.0000	0.0000	21.7391	21.7391	0.0000	0.0000	0.0000	
20281	0.0000	0.0000	0.0000	3.2258	3.2258	0.0000	0.0000	0.0000	
20301	3.3333	0.0000	0.0000	13.3333	13.3333	0.0000	0.0000	0.0000	
20311	0.4808	0.2404	0.0000	9.1346	10.8173	0.2404	1.6827	0.0000	
20321	0.0000	0.0000	0.0000	2.3529	3.5294	0.0000	1.1765	0.0000	
20331	1.1111	0.0000	0.0000	13.3333	13.3333	0.0000	0.0000	0.0000	
20361	2.7027	0.0000	0.0000	12.1622	12.1622	0.0000	0.0000	0.0000	
20371	1.6129	0.0000	0.0000	9.6774	9.6774	0.0000	0.0000	0.0000	
20401	0.0000	0.0000	0.0000	15.7895	15.7895	0.0000	0.0000	0.0000	
20461	1.8519	0.0000	0.0000	10.1852	11.1111	0.0000	0.9259	0.9259	
20471	3.1250	0.0000	0.0000	6.2500	9.3750	0.0000	3.1250	0.0000	
20651	5.0000	0.0000	0.0000	10.0000	10.0000	0.0000	0.0000	0.0000	
20661	0.0000	0.0000	0.0000	20.0000	20.0000	0.0000	0.0000	0.0000	
20671	4.1667	0.0000	0.0000	20.8333	20.8333	0.0000	0.0000	0.0000	
