ID	INSIGHT	INCLUSION	CAUSATION	INHIBITION	DISCREPANCY	TENTATIVENESS	COGNITIVE PROCESSES	EXCLUSION	CERTAINTY	
9221	5.1282	5.1282	0.0000	2.5641	2.5641	0.0000	15.3846	0.0000	0.0000	
9241	1.8519	0.0000	5.5556	0.0000	0.0000	9.2593	24.0741	7.4074	1.8519	
9261	8.7719	3.5088	2.6316	0.0000	0.8772	5.2632	24.5614	1.7544	5.2632	
9521	0.8264	4.9587	2.4793	0.0000	1.6529	5.7851	22.3140	7.4380	0.8264	
3230	7.6923	0.0000	0.0000	0.0000	0.0000	7.6923	30.7692	15.3846	0.0000	
3280	2.5000	7.5000	0.0000	0.0000	2.5000	2.5000	20.0000	0.0000	0.0000	
3300	0.0000	4.0000	0.0000	0.0000	8.0000	0.0000	12.0000	0.0000	0.0000	
3320	0.0000	4.7619	4.7619	0.0000	0.0000	0.0000	19.0476	4.7619	4.7619	
9891	8.7719	0.0000	0.0000	1.7544	0.0000	3.5088	14.0351	1.7544	1.7544	
3560	6.2500	3.1250	3.1250	0.0000	0.0000	3.1250	21.8750	0.0000	6.2500	
10011	0.0000	0.0000	0.0000	0.0000	6.6667	3.3333	10.0000	3.3333	3.3333	
10151	10.0000	10.0000	1.2500	0.0000	0.0000	5.0000	22.5000	1.2500	1.2500	
10371	14.2857	0.0000	0.0000	0.0000	0.0000	7.1429	25.0000	3.5714	0.0000	
13441	6.2500	6.2500	1.5625	0.0000	1.5625	6.2500	26.5625	6.2500	3.1250	
13501	3.5714	7.1429	14.2857	0.0000	0.0000	0.0000	32.1429	0.0000	0.0000	
5430	1.2500	0.0000	10.0000	2.5000	0.0000	0.0000	18.7500	1.2500	1.2500	
6310	0.0000	6.6667	6.6667	0.0000	0.0000	0.0000	20.0000	0.0000	6.6667	
6350	5.4054	0.0000	2.7027	0.0000	0.0000	2.7027	10.8108	0.0000	2.7027	
13751	9.0909	0.0000	6.0606	0.0000	0.0000	0.0000	12.1212	0.0000	0.0000	
5980	6.0606	6.0606	3.0303	0.0000	0.0000	3.0303	21.2121	3.0303	3.0303	
14311	0.0000	0.0000	2.9412	0.0000	0.0000	0.0000	8.8235	0.0000	2.9412	
18271	0.0000	3.2258	0.0000	0.0000	0.0000	0.0000	3.2258	0.0000	0.0000	
4971	6.8783	6.3492	3.7037	0.5291	2.1164	2.1164	24.8677	2.6455	1.5873	
5271	1.7544	1.7544	0.0000	1.7544	1.7544	3.5088	8.7719	0.0000	0.0000	
5301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6691	1.7857	1.7857	1.7857	1.7857	0.0000	0.0000	8.9286	1.7857	0.0000	
2020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.1111	0.0000	11.1111	
6791	6.8182	4.5455	0.0000	2.2727	0.0000	4.5455	20.4545	4.5455	0.0000	
10601	2.9412	0.0000	0.0000	0.0000	0.0000	5.8824	16.1765	8.8235	2.9412	
10721	0.0000	0.0000	1.7241	1.7241	0.0000	3.4483	8.6207	1.7241	0.0000	
10751	0.0000	0.0000	0.0000	0.0000	4.5455	13.6364	18.1818	4.5455	0.0000	
12741	2.2388	2.9851	4.4776	0.0000	1.4925	3.7313	16.4179	1.4925	2.2388	
12861	3.0769	5.1282	0.5128	0.0000	2.0513	3.5897	20.5128	4.1026	0.0000	
16051	2.6738	1.6043	1.6043	2.1390	4.2781	5.3476	20.3209	3.7433	1.0695	
17021	0.0000	0.0000	0.0000	0.0000	3.3333	0.0000	10.0000	3.3333	0.0000	
17051	16.6667	0.0000	0.0000	0.0000	0.0000	16.6667	16.6667	0.0000	0.0000	
17071	11.1111	1.3889	2.7778	1.3889	2.7778	5.5556	26.3889	5.5556	1.3889	
6860	8.4746	1.6949	1.6949	1.6949	3.3898	1.6949	18.6441	3.3898	0.0000	
7170	9.6154	0.0000	3.8462	0.0000	1.9231	5.7692	21.1538	3.8462	1.9231	
20621	2.2989	4.5977	0.0000	0.0000	0.0000	1.1494	9.1954	1.1494	0.0000	
20761	5.4054	4.0541	2.7027	0.0000	0.0000	5.4054	20.2703	5.4054	0.0000	
7740	1.1561	1.7341	2.8902	0.5780	0.5780	2.8902	11.5607	1.7341	0.0000	
20871	3.4884	0.0000	2.3256	0.0000	5.8140	8.1395	23.2558	6.9767	1.1628	
7750	1.8349	1.8349	5.5046	0.9174	0.9174	3.6697	20.1835	4.5872	1.8349	
20941	2.7778	8.3333	0.0000	0.0000	0.0000	0.0000	11.1111	0.0000	0.0000	
7760	4.0000	12.0000	4.0000	0.0000	0.0000	4.0000	32.0000	0.0000	8.0000	
20951	3.4965	2.7972	1.3986	0.6993	3.4965	1.3986	16.0839	3.4965	0.6993	
20961	4.3478	4.3478	0.0000	0.0000	0.0000	0.0000	13.0435	4.3478	0.0000	
21251	2.7778	8.3333	2.7778	0.0000	0.0000	2.7778	16.6667	0.0000	0.0000	
21261	8.6957	0.0000	4.3478	0.0000	4.3478	0.0000	17.3913	4.3478	0.0000	
21281	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	4.0000	
21421	3.7736	5.6604	7.5472	0.0000	0.0000	7.5472	22.6415	1.8868	1.8868	
21461	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
22111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	5.0000	0.0000	
1151	4.9180	1.6393	1.6393	0.0000	3.2787	4.0984	18.8525	2.4590	1.6393	
1181	1.4286	7.1429	1.4286	1.4286	2.8571	5.7143	18.5714	4.2857	0.0000	
200	9.0909	0.0000	0.0000	0.0000	0.0000	4.5455	13.6364	4.5455	0.0000	
210	6.8182	2.2727	0.0000	0.0000	2.2727	2.2727	15.9091	0.0000	2.2727	
1371	4.1096	2.0548	2.0548	0.0000	4.1096	3.4247	17.8082	4.7945	0.6849	
1381	0.0000	5.8824	0.0000	0.0000	0.0000	0.0000	5.8824	0.0000	0.0000	
280	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.0000	0.0000	0.0000	
520	9.7222	2.7778	0.0000	0.0000	4.1667	6.9444	23.6111	4.1667	2.7778	
1380	12.5000	0.0000	0.0000	0.0000	0.0000	0.0000	12.5000	0.0000	0.0000	
4451	7.2165	3.0928	5.1546	3.0928	0.0000	1.0309	18.5567	1.0309	0.0000	
4461	4.3478	6.5217	2.1739	0.0000	0.0000	0.0000	13.0435	0.0000	0.0000	
6431	5.7971	5.0725	1.4493	2.1739	0.0000	4.3478	23.1884	2.1739	0.7246	
7671	1.7857	5.3571	1.7857	1.7857	0.0000	7.1429	21.4286	0.0000	0.0000	
7691	8.5106	2.1277	6.3830	0.0000	2.1277	4.2553	27.6596	4.2553	2.1277	
8001	5.9701	5.9701	2.9851	0.0000	1.4925	0.0000	23.8806	2.9851	4.4776	
8241	1.6393	3.8251	3.2787	0.0000	1.0929	1.6393	15.8470	3.8251	1.6393	
2670	2.2727	2.2727	0.0000	0.0000	0.0000	0.0000	4.5455	0.0000	0.0000	
2700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8311	5.0420	9.2437	0.8403	0.0000	4.2017	5.0420	23.5294	2.5210	1.6807	
2680	6.6667	0.0000	13.3333	0.0000	0.0000	13.3333	40.0000	20.0000	0.0000	
2710	0.0000	13.6364	4.5455	0.0000	0.0000	0.0000	22.7273	0.0000	4.5455	
8321	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2690	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8471	3.0928	5.1546	2.0619	0.0000	5.1546	2.0619	21.6495	5.1546	1.0309	
8501	0.0000	2.4390	2.4390	0.0000	2.4390	2.4390	7.3171	2.4390	0.0000	
8661	2.9412	0.0000	1.4706	0.0000	0.0000	0.0000	10.2941	4.4118	1.4706	
2820	9.0909	0.0000	0.0000	0.0000	0.0000	0.0000	18.1818	9.0909	0.0000	
3160	8.3333	0.0000	0.0000	0.0000	0.0000	8.3333	16.6667	0.0000	0.0000	
8801	3.0000	3.0000	4.0000	0.0000	1.0000	3.0000	19.0000	6.0000	1.0000	
3090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.5000	12.5000	0.0000	
3100	1.2195	2.4390	0.0000	0.0000	1.2195	2.4390	10.9756	2.4390	0.0000	
3150	2.9412	0.0000	2.9412	0.0000	0.0000	0.0000	5.8824	0.0000	0.0000	
3330	3.5714	0.0000	0.0000	0.0000	0.0000	7.1429	10.7143	3.5714	0.0000	
8811	0.0000	5.6338	1.4085	0.0000	1.4085	2.8169	11.2676	0.0000	0.0000	
8911	3.5714	0.0000	0.0000	0.0000	3.5714	3.5714	21.4286	7.1429	0.0000	
9111	6.3830	3.1915	3.1915	1.0638	4.2553	4.2553	27.6596	6.3830	2.1277	
9471	2.0305	6.0914	3.5533	2.0305	1.5228	4.0609	21.3198	1.5228	1.5228	
13401	7.0588	3.5294	0.0000	0.0000	1.1765	4.7059	18.8235	3.5294	2.3529	
13461	0.0000	5.0000	0.0000	0.0000	0.0000	5.0000	10.0000	0.0000	0.0000	
13701	5.5556	5.5556	0.0000	0.0000	0.0000	0.0000	11.1111	0.0000	0.0000	
13951	10.3448	0.0000	0.0000	0.0000	0.0000	3.4483	10.3448	0.0000	0.0000	
14951	0.0000	3.3333	0.0000	1.6667	1.6667	1.6667	20.0000	8.3333	3.3333	
6210	7.1429	0.0000	7.1429	0.0000	0.0000	0.0000	28.5714	7.1429	7.1429	
15001	0.0000	0.0000	0.0000	0.0000	5.0000	5.0000	15.0000	5.0000	0.0000	
15041	0.0000	0.0000	12.5000	0.0000	0.0000	0.0000	12.5000	0.0000	0.0000	
6250	4.5455	4.5455	4.5455	0.0000	0.0000	0.0000	22.7273	4.5455	4.5455	
15111	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.0000	5.0000	5.0000	
15421	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0000	0.0000	0.0000	
18261	2.4390	9.7561	0.0000	0.0000	2.4390	2.4390	19.5122	0.0000	0.0000	
18331	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
4941	2.0000	2.0000	0.0000	0.0000	0.0000	2.0000	12.0000	0.0000	4.0000	
10561	4.8387	1.6129	0.0000	0.0000	3.2258	3.2258	11.2903	1.6129	0.0000	
10671	2.9412	0.0000	2.9412	0.0000	0.0000	0.0000	5.8824	0.0000	0.0000	
16021	1.1236	1.1236	0.0000	0.0000	1.1236	2.2472	8.9888	1.1236	2.2472	
16031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16091	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16311	0.0000	0.0000	4.7619	0.0000	0.0000	0.0000	9.5238	0.0000	4.7619	
16341	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16441	0.0000	9.0909	0.0000	0.0000	9.0909	0.0000	18.1818	0.0000	0.0000	
16491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16501	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16511	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16541	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
16831	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
20591	5.7895	4.2105	1.5789	0.0000	1.0526	3.1579	17.8947	1.5789	1.0526	
20681	7.8947	0.0000	0.0000	0.0000	10.5263	5.2632	36.8421	13.1579	2.6316	
7770	8.0000	2.2857	1.7143	0.0000	2.8571	3.4286	23.4286	3.4286	2.8571	
20801	4.7619	3.8095	0.9524	1.9048	7.6190	3.8095	26.6667	2.8571	2.8571	
20881	12.0690	1.7241	0.8621	0.8621	7.7586	9.4828	34.4828	3.4483	6.8966	
20891	4.2654	5.2133	2.3697	0.9479	4.7393	2.3697	21.8009	0.4739	2.3697	
21001	4.2169	1.8072	3.6145	0.6024	6.0241	6.0241	30.7229	2.4096	5.4217	
7800	6.5934	3.2967	2.1978	0.2198	4.1758	4.3956	25.0549	1.7582	3.7363	
1141	0.0000	3.3333	0.0000	0.0000	3.3333	3.3333	15.0000	3.3333	5.0000	
4531	0.0000	2.7778	0.0000	0.0000	0.0000	0.0000	16.6667	11.1111	2.7778	
7571	0.8850	0.0000	0.8850	0.0000	0.8850	0.8850	15.0442	0.8850	10.6195	
7651	0.0000	0.0000	0.0000	0.0000	10.0000	10.0000	10.0000	0.0000	0.0000	
2740	13.0435	4.3478	4.3478	0.0000	4.3478	4.3478	30.4348	4.3478	0.0000	
8421	0.0000	3.8462	0.0000	0.0000	0.0000	0.0000	7.6923	3.8462	0.0000	
8431	2.1739	6.5217	0.0000	0.0000	0.0000	4.3478	15.2174	2.1739	0.0000	
8441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
10041	0.0000	0.0000	11.1111	0.0000	0.0000	0.0000	11.1111	0.0000	0.0000	
13381	3.3333	0.0000	3.3333	0.0000	3.3333	3.3333	20.0000	3.3333	3.3333	
13421	6.1404	3.9474	1.3158	0.4386	3.0702	3.9474	23.6842	1.7544	3.0702	
5400	3.6765	0.7353	3.6765	2.2059	0.7353	4.4118	19.1176	1.4706	2.9412	
18251	0.0000	2.3529	3.5294	0.0000	4.7059	2.3529	11.7647	2.3529	0.0000	
18341	3.0303	3.0303	0.0000	0.0000	0.0000	3.0303	18.1818	6.0606	6.0606	
18401	5.8824	1.9608	0.0000	0.0000	3.9216	3.9216	11.7647	1.9608	0.0000	
18411	0.0000	3.7736	3.7736	0.0000	0.0000	0.0000	13.2075	1.8868	1.8868	
4921	0.0000	5.2632	0.0000	5.2632	0.0000	0.0000	15.7895	5.2632	0.0000	
5041	0.0000	7.1429	7.1429	7.1429	14.2857	7.1429	35.7143	7.1429	0.0000	
1480	0.0000	2.9412	0.0000	2.9412	5.8824	0.0000	17.6471	5.8824	0.0000	
5131	0.0000	5.0000	0.0000	0.0000	0.0000	5.0000	15.0000	0.0000	0.0000	
5311	10.0000	3.3333	3.3333	3.3333	6.6667	6.6667	36.6667	6.6667	0.0000	
5341	9.6774	0.0000	0.0000	3.2258	0.0000	3.2258	25.8065	6.4516	3.2258	
6501	1.9048	6.6667	3.8095	0.9524	2.8571	5.7143	20.9524	2.8571	0.0000	
6551	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
10541	2.6316	4.8246	2.1930	0.4386	2.6316	2.6316	16.6667	3.0702	0.8772	
10551	2.7100	4.3360	1.6260	0.2710	1.8970	4.0650	16.5312	3.2520	1.0840	
10931	4.8387	4.8387	0.0000	0.0000	3.2258	4.8387	14.5161	1.6129	0.0000	
11021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	2.0000	0.0000	
4090	5.4054	1.3514	0.0000	0.0000	4.0541	2.7027	16.2162	4.0541	1.3514	
11501	6.4516	2.1505	2.1505	3.2258	1.0753	3.2258	19.3548	3.2258	0.0000	
11521	3.2967	2.1978	1.0989	0.0000	2.1978	1.0989	15.3846	4.3956	1.0989	
4110	5.2083	6.2500	2.0833	1.0417	2.0833	7.2917	23.9583	5.2083	2.0833	
4650	3.2258	7.5269	1.0753	1.0753	1.0753	4.3011	22.5806	4.3011	0.0000	
4720	0.7143	2.1429	0.0000	0.0000	2.1429	2.1429	10.0000	2.1429	0.7143	
11781	1.6949	0.0000	1.6949	0.0000	0.0000	0.0000	5.0847	1.6949	0.0000	
11961	1.5152	3.0303	0.7576	0.0000	3.7879	5.3030	16.6667	3.7879	2.2727	
12331	0.0000	6.6667	0.0000	0.0000	1.3333	2.6667	12.0000	1.3333	0.0000	
4730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
12441	0.0000	0.0000	0.0000	7.1429	0.0000	0.0000	14.2857	3.5714	0.0000	
15931	0.0000	0.0000	0.0000	0.0000	6.8966	0.0000	6.8966	0.0000	0.0000	
18971	0.0000	8.3333	0.0000	0.0000	8.3333	0.0000	16.6667	0.0000	0.0000	
7940	6.6667	6.6667	0.0000	0.0000	0.0000	0.0000	26.6667	0.0000	13.3333	
19011	2.5000	2.5000	0.0000	2.5000	0.0000	2.5000	20.0000	2.5000	10.0000	
19111	7.6923	5.1282	0.0000	0.0000	0.0000	2.5641	15.3846	0.0000	0.0000	
19151	3.0612	3.0612	3.0612	0.0000	4.0816	1.0204	19.3878	2.0408	3.0612	
19181	4.1667	8.3333	0.0000	0.0000	0.0000	0.0000	12.5000	0.0000	0.0000	
7580	11.1111	0.0000	0.0000	0.0000	0.0000	0.0000	33.3333	11.1111	0.0000	
19191	4.0000	2.0000	0.0000	0.0000	2.0000	2.0000	18.0000	4.0000	4.0000	
19401	4.4118	4.4118	0.0000	0.0000	1.4706	2.9412	17.6471	2.9412	4.4118	
19441	0.0000	4.5455	4.5455	0.0000	0.0000	0.0000	18.1818	0.0000	9.0909	
19511	2.9630	3.7037	0.0000	0.0000	2.9630	2.2222	14.8148	2.9630	0.7407	
19571	4.2254	4.2254	0.0000	0.0000	1.4085	1.4085	15.4930	1.4085	2.8169	
19601	0.0000	2.3810	0.0000	0.0000	0.0000	0.0000	2.3810	0.0000	0.0000	
19611	3.5461	4.2553	1.4184	0.7092	0.0000	1.4184	14.8936	2.8369	0.7092	
19631	5.0000	10.0000	0.0000	0.0000	0.0000	0.0000	20.0000	5.0000	0.0000	
19641	0.0000	9.3750	0.0000	0.0000	0.0000	0.0000	12.5000	3.1250	0.0000	
19661	2.9412	2.9412	0.7353	0.0000	0.7353	2.2059	16.1765	4.4118	2.2059	
